vehicle_id,vehicle_type,fuel_type,vehicle_age,fuel_capacity_l,max_payload_kg,available,route_id,origin,destination,distance_km,required_payload_kg,traffic_factor,priority,average_speed_kmph,road_grade,weather_factor,fuel_consumed_l,payload_capacity_ratio,speed_efficiency_deviation,traffic_speed_ratio,grade_distance_work,payload_tonnage,weather_stress_index
V037,Van,Petrol,6,75,1500,True,R005,Hub North,Zone 3,174.0,1194.3,2.18,1,38.6,-1.61,1.01,33.32,0.7962,696.9599999999999,0.05505050505050505,171.1986,1.1943,1.7400000000000015
V047,Semi-Trailer,Diesel,6,450,26000,True,R029,Depot A,Port Terminal,29.8,13054.0,1.02,3,55.7,3.68,1.08,16.49,0.5020769230769231,86.48999999999995,0.01798941798941799,30.896639999999998,13.054,2.384000000000002
V045,Light Commercial,Diesel,9,100,3500,True,R015,Central Hub,Zone 3,162.8,1979.5,1.84,2,42.9,1.5,1.08,47.09,0.5655714285714286,488.4100000000001,0.04191343963553531,165.242,1.9795,13.024000000000013
V009,Semi-Trailer,Diesel,1,450,26000,True,R010,Hub North,Zone 2,196.0,8670.1,1.33,2,55.3,3.45,1.0,99.99,0.3334653846153846,94.09000000000006,0.023623445825932506,202.762,8.6701,0.0
V050,Light Commercial,Diesel,2,100,3500,True,R014,Depot A,Metro Area,54.7,2468.7,1.65,2,35.8,-2.7,1.04,10.81,0.705342857142857,852.6400000000002,0.04483695652173913,53.2231,2.4686999999999997,2.188000000000002
V033,Truck,Diesel,6,220,8000,True,R008,Depot B,Metro Area,131.6,1881.6,1.41,2,56.2,-3.48,1.01,37.05,0.2352,77.43999999999996,0.024650349650349648,127.02032,1.8816,1.3160000000000012
V020,Truck,Diesel,4,220,8000,True,R027,Depot C,Zone 1,73.5,2453.5,1.16,2,47.7,-1.1,1.32,24.71,0.3066875,299.2899999999999,0.023819301848049278,72.6915,2.4535,23.520000000000003
V031,Light Commercial,Diesel,6,100,3500,True,R030,Central Hub,Industrial Park,311.3,1777.8,1.78,2,34.6,2.82,1.08,92.29,0.5079428571428571,924.16,0.049999999999999996,320.07866,1.7778,24.904000000000025
V059,Light Commercial,Diesel,7,100,3500,True,R003,Depot B,Zone 1,293.9,1496.3,1.03,2,74.3,-1.95,1.16,49.85,0.4275142857142857,86.48999999999995,0.013678618857901727,288.16895,1.4963,47.02399999999997
V052,Van,Petrol,2,75,1500,True,R022,Central Hub,Metro Area,262.5,455.5,1.07,2,77.5,-3.11,1.07,28.47,0.30366666666666664,156.25,0.013630573248407643,254.33625,0.4555,18.375000000000018
