vehicle_id,vehicle_type,fuel_type,vehicle_age,fuel_capacity_l,max_payload_kg,available,route_id,origin,destination,distance_km,required_payload_kg,traffic_factor,priority,average_speed_kmph,road_grade,weather_factor,fuel_consumed_l
V037,Van,Petrol,6,75,1500,True,R005,Hub North,Zone 3,174.0,1194.3,2.18,1,38.6,-1.61,1.01,33.32
V047,Semi-Trailer,Diesel,6,450,26000,True,R029,Depot A,Port Terminal,29.8,13054.0,1.02,3,55.7,3.68,1.08,16.49
V045,Light Commercial,Diesel,9,100,3500,True,R015,Central Hub,Zone 3,162.8,1979.5,1.84,2,42.9,1.5,1.08,47.09
V009,Semi-Trailer,Diesel,1,450,26000,True,R010,Hub North,Zone 2,196.0,8670.1,1.33,2,55.3,3.45,1.0,99.99
V050,Light Commercial,Diesel,2,100,3500,True,R014,Depot A,Metro Area,54.7,2468.7,1.65,2,35.8,-2.7,1.04,10.81
V033,Truck,Diesel,6,220,8000,True,R008,Depot B,Metro Area,131.6,1881.6,1.41,2,56.2,-3.48,1.01,37.05
V020,Truck,Diesel,4,220,8000,True,R027,Depot C,Zone 1,73.5,2453.5,1.16,2,47.7,-1.1,1.32,24.71
V031,Light Commercial,Diesel,6,100,3500,True,R030,Central Hub,Industrial Park,311.3,1777.8,1.78,2,34.6,2.82,1.08,92.29
V059,Light Commercial,Diesel,7,100,3500,True,R003,Depot B,Zone 1,293.9,1496.3,1.03,2,74.3,-1.95,1.16,49.85
V052,Van,Petrol,2,75,1500,True,R022,Central Hub,Metro Area,262.5,455.5,1.07,2,77.5,-3.11,1.07,28.47
V051,Light Commercial,Diesel,8,100,3500,True,R011,Central Hub,Port Terminal,312.9,920.9,1.31,1,59.5,0.82,1.13,57.16
V028,Van,Diesel,4,75,1500,True,R002,Hub North,Metro Area,101.2,1247.6,1.51,3,53.5,1.26,1.05,15.64
V048,Light Commercial,Petrol,9,100,3500,True,R028,Central Hub,Zone 4,29.0,2107.8,1.46,1,34.5,-0.46,1.02,7.62
V024,Van,Diesel,7,75,1500,True,R002,Hub North,Metro Area,100.9,631.2,1.4,3,53.9,1.55,1.26,14.85
V042,Bus,Hybrid,4,280,6000,True,R007,Central Hub,Industrial Park,286.8,4913.5,1.35,3,61.2,0.44,1.07,92.66
V039,Truck,Diesel,12,220,8000,True,R001,Depot B,Port Terminal,290.7,6411.1,1.52,1,46.5,-2.82,1.06,116.94
V015,Van,Diesel,9,75,1500,True,R015,Central Hub,Zone 3,164.8,291.4,1.93,2,35.8,1.55,1.01,27.31
V016,Van,Petrol,6,75,1500,True,R018,Hub North,Port Terminal,158.6,873.3,1.0,1,73.1,2.78,1.04,25.67
V004,Van,Diesel,10,75,1500,True,R010,Hub North,Zone 2,193.8,539.7,1.18,2,63.6,3.59,1.0,28.31
V009,Semi-Trailer,Diesel,1,450,26000,True,R003,Depot B,Zone 1,294.3,14552.5,1.0,2,68.6,-1.97,1.08,113.86
V027,Truck,Diesel,10,220,8000,True,R004,Depot C,Zone 3,271.2,5682.4,1.26,3,62.3,2.93,1.09,126.35
V029,Van,Diesel,12,75,1500,True,R029,Depot A,Port Terminal,32.8,160.8,1.35,3,36.3,4.26,1.06,5.94
V010,Semi-Trailer,Diesel,12,450,26000,True,R025,Hub North,Zone 1,65.5,13949.8,1.47,2,37.4,-3.74,1.23,35.18
V026,Semi-Trailer,Diesel,7,450,26000,True,R029,Depot A,Port Terminal,30.3,9047.3,1.0,3,41.5,3.9,1.08,17.11
V037,Van,Petrol,6,75,1500,True,R016,Central Hub,Industrial Park,20.8,830.9,1.46,1,37.7,0.56,1.07,3.69
V014,Light Commercial,Diesel,4,100,3500,True,R017,Hub North,Zone 2,145.4,676.8,1.29,3,63.6,3.81,1.01,30.37
V021,Van,Diesel,10,75,1500,True,R024,Depot C,Zone 2,102.2,1192.4,1.0,1,76.8,-2.17,1.04,11.77
V023,Semi-Trailer,Diesel,7,450,26000,True,R019,Depot B,Port Terminal,256.8,14615.1,1.57,2,47.9,-1.86,1.35,131.53
V031,Light Commercial,Diesel,6,100,3500,True,R014,Depot A,Metro Area,55.1,977.9,1.57,2,35.2,-3.0,1.0,10.6
V022,Truck,Diesel,10,220,8000,True,R009,Depot A,Industrial Park,84.6,6033.9,1.76,1,33.5,-1.99,1.07,38.02
V045,Light Commercial,Diesel,9,100,3500,True,R015,Central Hub,Zone 3,162.4,462.4,1.81,2,43.4,2.17,1.07,38.28
V020,Truck,Diesel,4,220,8000,True,R002,Hub North,Metro Area,100.9,4831.2,1.55,3,50.8,1.01,1.08,41.36
V027,Truck,Diesel,10,220,8000,True,R006,Depot C,Zone 1,149.0,4212.0,1.79,2,48.4,3.85,1.08,84.27
V023,Semi-Trailer,Diesel,7,450,26000,True,R023,Depot B,Zone 2,263.6,3476.2,1.03,3,75.9,-0.78,1.13,102.1
V011,Van,Diesel,6,75,1500,True,R027,Depot C,Zone 1,69.8,468.4,1.38,2,33.1,-1.72,1.09,9.02
V042,Bus,Hybrid,4,280,6000,True,R004,Depot C,Zone 3,269.6,993.4,1.2,3,67.8,3.57,1.0,78.29
V015,Van,Diesel,9,75,1500,True,R003,Depot B,Zone 1,292.2,1083.8,1.02,2,72.9,-1.41,1.0,35.6
V018,Light Commercial,Hybrid,9,100,3500,True,R003,Depot B,Zone 1,294.7,2449.7,1.0,2,74.8,-1.54,1.0,39.01
V048,Light Commercial,Petrol,9,100,3500,True,R024,Depot C,Zone 2,101.9,615.7,1.24,1,60.7,-2.68,1.25,18.91
V057,Light Commercial,Diesel,6,100,3500,True,R010,Hub North,Zone 2,200.4,674.9,1.29,2,61.9,3.7,1.01,40.46
V041,Bus,Petrol,6,280,6000,True,R010,Hub North,Zone 2,197.5,5089.4,1.0,2,82.0,2.99,1.01,113.09
V055,Van,CNG,6,75,1500,True,R001,Depot B,Port Terminal,288.0,406.1,1.53,1,49.2,-1.86,1.11,42.07
V052,Van,Petrol,2,75,1500,True,R030,Central Hub,Industrial Park,315.1,537.2,1.41,2,60.2,3.09,1.1,52.39
V029,Van,Diesel,12,75,1500,True,R014,Depot A,Metro Area,53.0,1022.5,1.74,2,29.4,-2.84,1.09,8.73
V047,Semi-Trailer,Diesel,6,450,26000,True,R024,Depot C,Zone 2,101.5,3942.0,1.12,1,72.3,-1.95,1.01,37.05
V020,Truck,Diesel,4,220,8000,True,R022,Central Hub,Metro Area,263.4,7244.1,1.05,2,72.4,-1.76,1.05,85.97
V028,Van,Diesel,4,75,1500,True,R005,Hub North,Zone 3,171.9,179.3,1.88,1,38.0,-1.54,1.2,23.34
V033,Truck,Diesel,6,220,8000,True,R025,Hub North,Zone 1,69.6,6574.2,1.63,2,38.4,-2.85,1.03,26.59
V058,Truck,Diesel,12,220,8000,True,R017,Hub North,Zone 2,143.6,3254.2,1.41,3,50.7,4.06,1.0,70.32
V051,Light Commercial,Diesel,8,100,3500,True,R019,Depot B,Port Terminal,256.9,796.4,1.35,2,53.0,-1.61,1.01,43.44
V030,Van,Diesel,11,75,1500,True,R007,Central Hub,Industrial Park,287.7,631.3,1.29,3,52.9,0.05,1.04,38.6
V040,Van,CNG,2,75,1500,True,R026,Central Hub,Zone 4,114.2,1390.4,1.52,3,54.5,0.54,1.03,20.3
V013,Truck,Hybrid,5,220,8000,True,R028,Central Hub,Zone 4,28.8,4397.0,1.4,1,41.8,-0.49,1.1,8.72
V049,Truck,Diesel,8,220,8000,True,R013,Central Hub,Metro Area,192.4,1203.1,1.89,2,41.1,-1.18,1.07,72.42
V034,Van,Diesel,10,75,1500,True,R003,Depot B,Zone 1,294.1,1350.5,1.0,2,71.1,-2.38,1.14,36.33
V032,Truck,Diesel,8,220,8000,True,R026,Central Hub,Zone 4,111.9,1776.2,1.7,3,44.1,0.43,1.2,44.89
V046,Truck,Diesel,4,220,8000,True,R027,Depot C,Zone 1,68.0,1171.9,1.16,2,41.9,-1.09,1.19,21.2
V038,Light Commercial,Diesel,6,100,3500,True,R016,Central Hub,Industrial Park,24.7,485.1,1.86,1,22.7,0.84,1.07,6.44
V005,Light Commercial,CNG,10,100,3500,True,R018,Hub North,Port Terminal,156.4,2808.3,1.0,1,73.0,2.71,1.01,39.58
V018,Light Commercial,Hybrid,9,100,3500,True,R007,Central Hub,Industrial Park,289.0,805.2,1.23,3,63.1,0.32,1.21,39.16
V011,Van,Diesel,6,75,1500,True,R003,Depot B,Zone 1,293.5,378.2,1.0,2,72.6,-2.03,1.08,29.34
V045,Light Commercial,Diesel,9,100,3500,True,R029,Depot A,Port Terminal,29.9,3158.7,1.13,3,45.4,3.17,1.01,8.34
V003,Bus,Hybrid,9,280,6000,True,R015,Central Hub,Zone 3,165.8,3719.2,1.85,2,33.4,1.55,1.05,72.92
V013,Truck,Hybrid,5,220,8000,True,R009,Depot A,Industrial Park,90.0,2740.9,1.58,1,38.4,-2.92,1.05,24.22
V036,Van,Diesel,6,75,1500,True,R021,Depot A,Metro Area,279.9,897.7,1.4,1,52.1,0.18,1.02,37.44
V042,Bus,Hybrid,4,280,6000,True,R001,Depot B,Port Terminal,289.4,1839.8,1.53,1,52.5,-2.7,1.09,75.42
V031,Light Commercial,Diesel,6,100,3500,True,R003,Depot B,Zone 1,294.0,1820.4,1.21,2,62.9,-1.85,1.01,47.79
V052,Van,Petrol,2,75,1500,True,R008,Depot B,Metro Area,129.0,576.6,1.6,2,48.5,-2.92,1.03,16.96
V056,Semi-Trailer,Diesel,6,450,26000,True,R014,Depot A,Metro Area,54.0,16360.0,1.83,2,22.8,-2.53,1.25,35.29
V008,Semi-Trailer,Diesel,1,450,26000,True,R012,Depot A,Zone 2,56.6,19369.7,1.12,2,41.7,1.71,1.13,30.62
V058,Truck,Diesel,12,220,8000,True,R006,Depot C,Zone 1,146.7,3169.9,1.98,2,35.0,4.02,1.15,95.88
V037,Van,Petrol,6,75,1500,True,R011,Central Hub,Port Terminal,313.6,333.5,1.19,1,63.3,0.54,1.2,40.97
V039,Truck,Diesel,12,220,8000,True,R011,Central Hub,Port Terminal,310.9,3219.0,1.17,1,69.3,0.94,1.02,116.34
